PdfType: error
Format: lhagrid1
---
5.000000e-06 6.469340e-06 8.370580e-06 1.083050e-05 1.401320e-05 1.813100e-05 2.345850e-05 3.035090e-05 3.926760e-05 5.080240e-05 6.572330e-05 8.502270e-05 1.099830e-04 1.422610e-04 1.839950e-04 2.379440e-04 3.076670e-04 3.977440e-04 5.140700e-04 6.642160e-04 8.578820e-04 1.107470e-03 1.428790e-03 1.847940e-03 2.379570e-03 3.060350e-03 3.929800e-03 5.036510e-03 6.439470e-03 8.208290e-03 1.042490e-02 1.318030e-02 1.657460e-02 2.071300e-02 2.570030e-02 3.166080e-02 3.860010e-02 4.666620e-02 5.587900e-02 6.626100e-02 7.781050e-02 9.050080e-02 1.042750e-01 1.191680e-01 1.349350e-01 1.516740e-01 1.692700e-01 1.876580e-01 2.067780e-01 2.265720e-01 2.469860e-01 2.679650e-01 2.894600e-01 3.112310e-01 3.336210e-01 3.564040e-01 3.795630e-01 4.031000e-01 4.269440e-01 4.510730e-01 4.754690e-01 5.001130e-01 5.249900e-01 5.500860e-01 5.753850e-01 6.009230e-01 6.264810e-01 6.523530e-01 6.783700e-01 7.045280e-01 7.308230e-01 7.572480e-01 7.837670e-01 8.105000e-01 8.372600e-01 8.641380e-01 8.911230e-01 9.182080e-01 9.453860e-01 9.726560e-01 1.000000e+00
1.300000e+00 1.494260e+00 1.736730e+00 2.042900e+00 2.434360e+00 2.941690e+00 3.608810e+00 4.500000e+00 5.866040e+00 7.828770e+00 1.071920e+01 1.509180e+01 2.190300e+01 3.285630e+01 5.109270e+01 8.262520e+01 1.394400e+02 2.465070e+02 4.583780e+02 9.005800e+02 1.878640e+03 4.183110e+03 1.000000e+04
-5  -4  -3  -2  -1  1  2  3  4  5  21
0.00000000e+00 0.00000000e+00 7.31415000e-02 2.29510500e-01 2.29518500e-01 2.29705500e-01 2.31309500e-01 7.31415000e-02 0.00000000e+00 0.00000000e+00 2.96066000e-03
0.00000000e+00 5.12375000e-02 1.23942500e-01 2.79365000e-01 2.79379000e-01 2.79600500e-01 2.81303000e-01 1.23942500e-01 5.12375000e-02 0.00000000e+00 1.29247500e+00
0.00000000e+00 1.27472500e-01 1.99762000e-01 3.54281500e-01 3.54302000e-01 3.54559000e-01 3.56361000e-01 1.99762000e-01 1.27472500e-01 0.00000000e+00 3.34331500e+00
0.00000000e+00 2.32456500e-01 3.04347500e-01 4.58001500e-01 4.58028000e-01 4.58322500e-01 4.60223500e-01 3.04347500e-01 2.32456500e-01 0.00000000e+00 6.32520000e+00
0.00000000e+00 3.70658500e-01 4.42166000e-01 5.94985000e-01 5.95015000e-01 5.95350000e-01 5.97350000e-01 4.42166000e-01 3.70658500e-01 0.00000000e+00 1.04253000e+01
0.00000000e+00 5.47090000e-01 6.18225000e-01 7.70235000e-01 7.70275000e-01 7.70645000e-01 7.72750000e-01 6.18225000e-01 5.47090000e-01 0.00000000e+00 1.58437500e+01
0.00000000e+00 7.67335000e-01 8.38110000e-01 9.89330000e-01 9.89375000e-01 9.89790000e-01 9.91995000e-01 8.38110000e-01 7.67335000e-01 0.00000000e+00 2.27937000e+01
0.00000000e+00 1.03756000e+00 1.10798500e+00 1.25843000e+00 1.25848500e+00 1.25894500e+00 1.26125500e+00 1.10798500e+00 1.03756000e+00 0.00000000e+00 3.15006500e+01
3.76243500e-01 1.40336000e+00 1.47340000e+00 1.62301500e+00 1.62308000e+00 1.62359000e+00 1.62602000e+00 1.47340000e+00 1.40336000e+00 3.76243500e-01 4.27407000e+01
8.33415000e-01 1.85020500e+00 1.91987000e+00 2.06866500e+00 2.06873500e+00 2.06930000e+00 2.07185500e+00 1.91987000e+00 1.85020500e+00 8.33415000e-01 5.66900000e+01
1.38328500e+00 2.38986000e+00 2.45915500e+00 2.60713500e+00 2.60721500e+00 2.60783500e+00 2.61052000e+00 2.45915500e+00 2.38986000e+00 1.38328500e+00 7.37180000e+01
2.03914000e+00 3.03560500e+00 3.10453500e+00 3.25170500e+00 3.25179500e+00 3.25248000e+00 3.25529000e+00 3.10453500e+00 3.03560500e+00 2.03914000e+00 9.42175000e+01
2.81537500e+00 3.80183000e+00 3.87039000e+00 4.01676500e+00 4.01686000e+00 4.01761000e+00 4.02056000e+00 3.87039000e+00 3.80183000e+00 2.81537500e+00 1.18593500e+02
