#: table_doi: 10.17182/hepdata.93881.v1/t1
#: name: Figure 5-1
#: description: Spectra of jets with |eta jet| < 2.0 for R = 0.2, for pp collisions and different centrality classes of PbPb collisions.
#: data_file: Table5-1.yaml
#: keyword cmenergies: 5020
#: keyword reactions: P P --> JET X | Pb Pb --> JET X
#: keyword observables: d^2 sigma / d eta d PT
#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,0-10
#: R,,,0.2
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,d^2 sigma / d PT d ETA,stat +,stat -,sys +,sys -,global +,global -
225.0,200,250,-,0,0,0,0,0,0
275.0,250,300,-,0,0,0,0,0,0
350.0,300,400,0.000705,1.7e-05,-1.7e-05,9.8e-05,-9.8e-05,7.1e-05,-7.1e-05
450.0,400,500,0.000111,7e-06,-7e-06,1.7e-05,-1.7e-05,1.1e-05,-1.1e-05
750.0,500,1000,7.2e-06,7e-07,-7e-07,1.1e-06,-1.1e-06,7e-07,-7e-07

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,10-30
#: R,,,0.2
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,d^2 sigma / d PT d ETA,stat +,stat -,sys +,sys -,global +,global -
225.0,200,250,0.0119,0.0001,-0.0001,0.0016,-0.0016,0.0006,-0.0006
275.0,250,300,0.00346,5e-05,-5e-05,0.00053,-0.00053,0.00018,-0.00018
350.0,300,400,0.0008,2e-05,-2e-05,0.00013,-0.00013,4e-05,-4e-05
450.0,400,500,0.000107,6e-06,-6e-06,1.8e-05,-1.8e-05,5e-06,-5e-06
750.0,500,1000,8.5e-06,8e-07,-8e-07,1.4e-06,-1.4e-06,4e-07,-4e-07

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,30-50
#: R,,,0.2
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,d^2 sigma / d PT d ETA,stat +,stat -,sys +,sys -,global +,global -
225.0,200,250,0.0136,0.0002,-0.0002,0.002,-0.002,0.0003,-0.0003
275.0,250,300,0.00394,0.0001,-0.0001,0.00062,-0.00062,0.0001,-0.0001
350.0,300,400,0.00097,3e-05,-3e-05,0.00016,-0.00016,2e-05,-2e-05
450.0,400,500,-,0,0,0,0,0,0
750.0,500,1000,-,0,0,0,0,0,0

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,50-90
#: R,,,0.2
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,d^2 sigma / d PT d ETA,stat +,stat -,sys +,sys -,global +,global -
225.0,200,250,0.0146,0.0003,-0.0003,0.0025,-0.0025,0.0003,-0.0003
275.0,250,300,0.00409,0.00018,-0.00018,0.00075,-0.00075,8e-05,-8e-05
350.0,300,400,0.00093,6e-05,-6e-05,0.00018,-0.00018,2e-05,-2e-05
450.0,400,500,-,0,0,0,0,0,0
750.0,500,1000,-,0,0,0,0,0,0

#: ABS(ETA),,,0.0-2.0
#: RE,,,P P --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,Inclusive
#: R,,,0.2
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,d^2 sigma / d PT d ETA,stat +,stat -,sys +,sys -,global +,global -
225.0,200,250,0.0171,0.0001,-0.0001,0.0023,-0.0023,0.0004,-0.0004
275.0,250,300,0.00485,3e-05,-3e-05,0.00073,-0.00073,0.00011,-0.00011
350.0,300,400,0.00109,1e-05,-1e-05,0.00018,-0.00018,3e-05,-3e-05
450.0,400,500,0.000165,4e-06,-4e-06,3e-05,-3e-05,4e-06,-4e-06
750.0,500,1000,9.1e-06,4e-07,-4e-07,1.7e-06,-1.7e-06,2e-07,-2e-07

